Rank,Player,Pos,Team,Avg ADP,# Sites,ESPN,Yahoo,Sleeper,FantasyPros,PFF,Underdog,DraftSharks
106,Jacoby Brissett,QB,ARI,108.75,6,166.0,49.0,147.8,82.0,,81.7,126.0
107,Kyle Monangai,RB,CHI,108.78,6,127.0,96.0,107.1,118.0,,104.6,100.0
108,Kenneth Gainwell,RB,TB,110.73,6,96.0,100.0,125.2,115.0,,112.2,116.0
109,Michael Pittman Jr.,WR,PIT,111.2,6,83.0,120.0,119.4,97.0,,130.8,117.0
110,Geno Smith,QB,NYJ,112.53,6,149.0,52.0,149.8,102.0,,64.4,158.0
111,JK. Dobbins,RB,DEN,113.23,6,125.0,112.0,110.2,116.0,,105.2,111.0
112,Chris Godwin Jr.,WR,TB,113.53,6,139.0,106.0,111.6,95.0,,122.6,107.0
113,Travis Kelce,TE,KC,114.08,6,113.0,118.0,101.7,112.0,,126.8,113.0
114,Aaron Jones Sr.,RB,MIN,115.33,6,98.0,98.0,131.8,125.0,,116.2,123.0
115,Blake Corum,RB,LAR,115.63,6,133.0,109.0,115.3,123.0,,101.5,112.0
116,Aaron Rodgers,QB,PIT,115.77,6,165.0,39.0,148.7,111.0,,55.9,175.0
117,Josh Downs,WR,IND,117.0,6,110.0,103.0,124.8,106.0,,124.2,134.0
118,Jakobi Meyers,WR,JAX,117.33,6,103.0,132.0,117.3,113.0,,134.7,104.0
119,Jordan Addison,WR,MIN,118.27,6,111.0,122.0,119.6,119.0,,123.0,115.0
120,Jayden Reed,WR,GB,119.02,6,121.0,104.0,122.7,122.0,,119.4,125.0
121,Makai Lemon,WR,PHI,120.85,6,109.0,176.0,103.2,117.0,,110.9,109.0
122,George Kittle,TE,SF,122.78,6,101.0,167.0,105.7,121.0,,122.0,120.0
123,Jake Ferguson,TE,DAL,123.78,6,114.0,145.0,108.7,124.0,,132.0,119.0
124,Wan'Dale Robinson,WR,TEN,123.78,6,108.0,153.0,126.8,105.0,,139.9,110.0
125,Quentin Johnston,WR,LAC,124.17,6,136.0,134.0,123.9,114.0,,115.1,122.0
126,Mark Andrews,TE,BAL,125.07,6,115.0,130.0,113.5,135.0,,135.9,121.0
127,Rachaad White,RB,WAS,125.08,6,123.0,111.0,135.8,120.0,,112.7,148.0
128,Jacory Croskey-Merritt,RB,WAS,128.5,6,132.0,121.0,130.0,133.0,,127.0,128.0
129,Dalton Kincaid,TE,BUF,129.28,6,130.0,175.0,94.0,127.0,,135.7,114.0
130,Dallas Goedert,TE,PHI,129.38,6,112.0,148.0,118.7,131.0,,139.6,127.0
131,Brian Robinson Jr.,RB,ATL,131.02,6,150.0,,145.9,166.0,8.0,169.2,147.0
132,Xavier Worthy,WR,KC,131.32,6,122.0,137.0,135.7,132.0,,129.2,132.0
133,Jonathon Brooks,RB,CAR,133.52,6,124.0,154.0,127.8,126.0,,107.3,162.0
134,Jordan Mason,RB,MIN,133.83,6,145.0,140.0,132.0,134.0,,121.0,131.0
135,Romeo Doubs,WR,NE,134.67,6,140.0,119.0,137.4,136.0,,145.6,130.0
136,Isaiah Likely,TE,NYG,134.78,6,129.0,173.0,116.8,130.0,,141.9,118.0
137,Khalil Shakir,WR,BUF,135.73,6,120.0,138.0,141.6,129.0,,145.8,140.0
138,Hunter Henry,TE,NE,139.77,6,131.0,135.0,127.1,158.0,,158.5,129.0
139,Tua Tagovailoa,QB,ATL,139.98,6,168.0,114.0,178.0,146.0,,91.9,142.0
140,Matthew Golden,WR,GB,140.78,6,94.0,162.0,138.8,141.0,,139.9,169.0
141,KC Concepcion,WR,CLE,143.85,6,137.0,170.0,134.5,139.0,,141.6,141.0
142,Jayden Higgins,WR,HOU,147.98,6,141.0,177.0,140.4,128.0,,150.5,151.0
143,Zach Charbonnet,RB,SEA,148.98,5,135.0,,153.0,147.0,,165.9,144.0
144,Jalen Coker,WR,CAR,149.67,6,142.0,171.0,143.2,137.0,,152.8,152.0
145,Woody Marks,RB,HOU,152.5,6,134.0,189.0,159.7,142.0,,147.3,143.0
146,Tyrone Tracy Jr.,RB,NYG,152.52,6,162.0,185.0,146.7,140.0,,136.4,145.0
147,TJ. Hockenson,TE,MIN,154.46,5,116.0,,154.8,173.0,,173.5,155.0
148,Chris Rodriguez Jr.,RB,JAX,154.75,6,148.0,166.0,156.0,145.0,,133.5,180.0
149,Kenyon Sadiq,TE,NYJ,154.8,5,128.0,,139.0,192.0,,166.0,149.0
150,Tyler Allgeier,RB,ARI,154.88,5,194.0,,143.2,143.0,,156.2,138.0
151,Alvin Kamara,RB,NO,156.2,5,146.0,,161.3,148.0,,171.7,154.0
152,Stefon Diggs,WR,WAS,157.95,6,212.0,144.0,129.4,169.0,,154.3,139.0
153,Rashid Shaheed,WR,SEA,163.02,6,144.0,200.0,158.5,150.0,,154.6,171.0
154,Los Angeles Rams,DST,LAR,163.43,4,173.0,150.0,167.3,,,,133.0
155,Seattle Seahawks,DST,SEA,163.43,4,172.0,165.0,170.7,,,,146.0
156,Isiah Pacheco,RB,DET,164.22,5,147.0,,185.9,153.0,,152.2,183.0
157,Brenton Strange,TE,JAX,164.58,6,226.0,180.0,133.0,154.0,,159.5,135.0
158,Juwan Johnson,TE,NO,165.33,6,225.0,181.0,151.5,149.0,,161.5,124.0
159,Houston Texans,DST,HOU,165.7,4,170.0,158.0,169.1,,,,137.0
160,Denver Broncos,DST,DEN,165.77,3,169.0,156.0,172.3,,,,
161,Deebo Samuel Sr.,WR,SF,165.95,6,138.0,199.0,142.5,159.0,,181.2,176.0
162,Denzel Boston,WR,CLE,166.88,5,154.0,,159.6,160.0,,174.8,186.0
163,Tyjae Spears,RB,TEN,167.52,6,196.0,183.0,164.6,144.0,,157.5,160.0
164,Brandon Aubrey,K,DAL,171.33,4,181.0,127.0,168.0,,,,165.0
165,Oronde Gadsden II,TE,LAC,171.73,6,271.0,184.0,121.9,163.0,,154.5,136.0
166,Michael Penix Jr.,QB,ATL,171.77,6,208.0,188.0,195.8,180.0,,105.8,153.0
167,Philadelphia Eagles,DST,PHI,171.78,4,175.0,182.0,173.1,,,,157.0
168,Travis Hunter,WR,JAX,172.24,5,155.0,,166.7,170.0,,164.5,205.0
169,Omar Cooper Jr.,WR,NYJ,173.22,5,198.0,,163.4,161.0,,164.7,179.0
170,Keaton Mitchell,RB,LAC,173.68,5,199.0,,179.3,157.0,,143.1,190.0
171,Jalen McMillan,WR,TB,174.48,5,152.0,,187.0,165.0,,173.4,195.0
172,Chigoziem Okonkwo,TE,WAS,174.58,5,260.0,,151.7,152.0,,150.2,159.0
173,Jonah Coleman,RB,DEN,174.76,5,213.0,,162.9,167.0,,166.9,164.0
174,Cameron Dicker,K,LAC,175.0,4,182.0,126.0,171.0,,,,172.0
175,Jerry Jeudy,WR,CLE,175.72,5,143.0,,196.6,156.0,,195.0,188.0
176,Tank Bigsby,RB,PHI,175.84,5,151.0,,189.3,168.0,,169.9,201.0
177,Jauan Jennings,WR,MIN,176.08,6,204.0,197.0,165.1,155.0,,179.4,156.0
178,Dylan Sampson,RB,CLE,177.8,5,195.0,,191.3,151.0,,166.7,185.0
179,Shedeur Sanders,QB,CLE,178.1,5,206.0,,181.2,205.0,,132.3,166.0
180,New England Patriots,DST,NE,178.93,4,177.0,172.0,177.7,,,,189.0
181,Baltimore Ravens,DST,BAL,180.65,4,174.0,195.0,175.6,,,,178.0
182,Andres Borregales,K,NE,182.07,3,,142.0,212.2,,,,192.0
183,Tre Tucker,WR,LV,182.58,5,160.0,,197.3,164.0,,174.6,217.0
184,Dalton Schultz,TE,HOU,182.8,6,258.0,196.0,150.6,171.0,,171.2,150.0
185,De'Zhaun Stribling,WR,SF,183.32,5,157.0,,155.8,176.0,,179.8,248.0
186,Cam Little,K,JAX,183.88,4,188.0,146.0,175.5,,,,226.0
187,Deshaun Watson,QB,CLE,184.5,5,167.0,,214.7,187.0,,120.8,233.0
188,Jalen Nailor,WR,LV,186.7,5,193.0,,180.4,178.0,,167.1,215.0
189,Terrance Ferguson,TE,LAR,186.76,5,164.0,,194.2,214.0,,187.6,174.0
190,Adonai Mitchell,WR,NYJ,187.4,5,156.0,,222.3,162.0,,192.7,204.0
191,Antonio Williams,WR,WAS,189.3,5,159.0,,198.8,198.0,,197.7,193.0
192,Harrison Mevis,K,LAR,190.7,4,184.0,125.0,204.1,,,,184.0
193,Kirk Cousins,QB,LV,191.96,5,207.0,,183.9,196.0,,149.9,223.0
194,Minnesota Vikings,DST,MIN,191.97,3,,174.0,207.9,,,,194.0
195,Harrison Butker,K,KC,193.65,4,187.0,141.0,210.6,,,,236.0
196,Ka'imi Fairbairn,K,HOU,193.77,4,185.0,133.0,174.3,,,,222.0
197,James Conner,RB,ARI,194.88,5,201.0,,188.0,181.0,,231.4,173.0
198,AJ Barner,TE,SEA,195.06,5,263.0,,157.9,186.0,,177.4,191.0
199,Detroit Lions,DST,DET,195.22,4,178.0,186.0,209.9,,,,207.0
200,Mike Washington Jr.,RB,LV,195.38,5,163.0,,201.2,199.0,,207.7,206.0
201,Braelon Allen,RB,NYJ,196.0,5,197.0,,202.3,174.0,,203.7,203.0
202,Calvin Ridley,WR,TEN,196.9,5,153.0,,250.2,183.0,,202.3,196.0
203,Antonio Brown,WR,,200.03,3,36.0,,519.5,,,44.6,
204,Pittsburgh Steelers,DST,PIT,200.95,4,171.0,192.0,206.8,,,,234.0
205,Emmett Johnson,RB,KC,201.58,5,255.0,,190.5,190.0,,191.4,181.0
206,Ray Davis,RB,BUF,203.38,5,161.0,,242.1,188.0,,187.8,238.0
207,Gunnar Helm,TE,TEN,204.12,5,259.0,,182.4,197.0,,180.2,202.0
208,Colby Parkinson,TE,LAR,206.05,4,,,226.7,224.0,,210.5,163.0
209,Zachariah Branch,WR,ATL,207.2,5,210.0,,193.6,208.0,,203.4,221.0
210,Tre' Harris,WR,LAC,207.86,5,227.0,,221.1,172.0,,187.2,232.0
211,Nicholas Singleton,RB,TEN,209.12,5,216.0,,199.4,202.0,,212.2,216.0
212,Eddy Pineiro,K,SF,209.43,4,186.0,139.0,213.3,,,,229.0
213,Nathaniel Dell,WR,HOU,209.56,5,205.0,,199.2,204.0,,208.6,231.0
214,MarShawn Lloyd,RB,GB,210.22,4,224.0,,219.0,210.0,,187.9,
215,Josh Love,QB,,211.4,2,,,381.8,,41.0,,
216,Pat Freiermuth,TE,PIT,212.3,4,235.0,,217.3,207.0,,189.9,
217,Kimani Vidal,RB,LAC,212.34,5,218.0,,231.1,179.0,,220.6,213.0
218,Cade Otton,TE,TB,212.4,5,273.0,,186.8,209.0,,185.2,208.0
219,Germie Bernard,WR,PIT,213.18,5,158.0,,236.9,213.0,,202.0,256.0
220,Kayshon Boutte,WR,NE,213.48,5,245.0,,229.2,177.0,,219.2,197.0
221,Jake Bates,K,DET,213.7,4,189.0,129.0,207.1,,,,245.0
222,Malik Washington,WR,MIA,214.38,4,241.0,,215.7,191.0,,209.8,
223,Isaac TeSlaa,WR,DET,214.4,5,234.0,,223.7,195.0,,191.3,228.0
224,Chris Boswell,K,PIT,214.43,4,238.0,157.0,205.7,,,,257.0
225,Kaytron Allen,RB,WAS,214.48,5,215.0,,237.1,206.0,,196.3,218.0
226,Ryan Flournoy,WR,DAL,215.78,5,228.0,,225.0,175.0,,182.9,268.0
227,Sean Tucker,RB,TB,218.4,5,257.0,,247.1,182.0,,180.9,225.0
228,Will Reichard,K,MIN,220.62,4,192.0,151.0,263.5,,,,276.0
229,David Njoku,TE,LAC,220.7,5,300.0,,191.1,216.0,,235.4,161.0
230,Troy Franklin,WR,DEN,220.72,4,,,249.0,184.0,,237.9,212.0
231,Kansas City Chiefs,DST,KC,221.28,4,179.0,198.0,268.1,,,,240.0
232,Los Angeles Chargers,DST,LAC,221.65,4,180.0,191.0,263.6,,,,252.0
233,Eli Stowers,TE,PHI,221.95,4,,,223.4,232.0,,222.4,210.0
234,Trey Benson,RB,ARI,222.43,4,,,235.8,248.0,,237.9,168.0
235,Dontayvion Wicks,WR,PHI,222.78,4,265.0,,230.4,189.0,,206.7,
236,Jacksonville Jaguars,DST,JAX,222.8,4,267.0,193.0,211.2,,,,220.0
237,Greg Dulcich,TE,MIA,222.95,4,272.0,,215.2,219.0,,185.6,
238,Mason Taylor,TE,NYJ,223.97,4,,,245.7,241.0,,239.2,170.0
239,Pat Bryant,WR,DEN,226.2,5,274.0,,231.7,194.0,,217.3,214.0
240,Tyreek Hill,WR,MIA,226.5,3,,,228.5,264.0,,,187.0
241,JJ. McCarthy,QB,MIN,227.9,5,209.0,,241.3,303.0,,209.2,177.0
242,Darnell Mooney,WR,NYG,228.32,5,211.0,,260.2,193.0,,224.4,253.0
243,Jason Myers,K,SEA,228.57,4,183.0,123.0,203.7,,,,299.0
244,Justice Hill,RB,BAL,228.62,4,202.0,,271.1,221.0,,220.4,
245,Theo Johnson,TE,NYG,229.82,4,,,253.7,245.0,,238.6,182.0
246,Kaelon Black,RB,SF,230.8,4,214.0,,247.5,250.0,,211.7,
247,Jordan James,RB,SF,232.05,4,200.0,,273.2,238.0,,217.0,
248,Ja'Kobi Lane,WR,BAL,232.74,5,247.0,,183.1,266.0,,232.6,235.0
249,Demond Claiborne,RB,MIN,232.78,5,217.0,,246.4,233.0,,225.5,242.0
250,Jaylen Wright,RB,MIA,232.9,5,219.0,,255.9,212.0,,236.6,241.0
251,Chimere Dike,WR,TEN,233.45,4,,,255.9,211.0,,239.9,227.0
252,Jaydon Blue,RB,DAL,233.54,5,250.0,,238.5,215.0,,194.2,270.0
253,Rashod Bateman,WR,BAL,233.68,5,203.0,,258.2,203.0,,225.2,279.0
254,Tyler Loop,K,BAL,236.13,4,190.0,124.0,267.4,,,,251.0
255,Cooper Kupp,WR,SEA,236.26,5,243.0,,244.8,201.0,,223.5,269.0
256,Jaylin Noel,WR,HOU,236.48,5,231.0,,279.2,185.0,,238.2,249.0
257,Malachi Fields,WR,NYG,237.28,4,,,239.7,234.0,,236.4,239.0
258,Carson Beck,QB,ARI,238.2,5,229.0,,218.7,327.0,,158.3,258.0
259,Emanuel Wilson,RB,SEA,238.72,5,279.0,,261.4,200.0,,234.2,219.0
260,George Holani,RB,SEA,240.18,4,251.0,,271.3,228.0,,210.4,
261,Chris Bell,WR,MIA,240.24,5,240.0,,251.3,227.0,,238.9,244.0
262,Ted Hurst III,WR,TB,241.14,5,248.0,,243.3,236.0,,219.4,259.0
263,Jake Tonges,TE,SF,241.78,4,,,234.5,272.0,,236.6,224.0
264,Cyrus Allen,WR,KC,243.33,3,,,220.4,285.0,,224.6,
265,Wil Lutz,K,DEN,243.53,3,,147.0,305.6,,,,278.0
266,Evan Engram,TE,DEN,243.65,4,299.0,,239.1,217.0,,219.5,
267,Ty Simpson,QB,LAR,244.22,4,,,227.0,343.0,,239.9,167.0
268,Brandon Aiyuk,WR,SF,244.58,5,246.0,,294.1,244.0,,239.8,199.0
269,Samaje Perine,RB,CIN,245.25,4,222.0,,278.8,246.0,,234.2,
270,Chase McLaughlin,K,TB,245.62,4,239.0,149.0,303.5,,,,291.0
271,Elic Ayomanor,WR,TEN,245.9,4,,,290.7,223.0,,239.9,230.0
272,Keenan Allen,WR,LAC,246.27,3,,,,256.0,,220.8,262.0
273,Ollie Gordon II,RB,MIA,247.78,4,220.0,,315.3,218.0,,237.8,
274,LeQuint Allen Jr.,RB,JAX,248.8,4,223.0,,287.0,247.0,,238.2,
275,Mike Gesicki,TE,CIN,249.28,4,298.0,,233.4,260.0,,205.7,
276,Keon Coleman,WR,BUF,249.56,5,249.0,,259.3,222.0,,236.5,281.0
277,Jack Bech,WR,LV,252.08,5,233.0,,284.2,220.0,,239.2,284.0
278,Tory Horton,WR,SEA,252.84,5,275.0,,254.6,226.0,,237.6,271.0
279,Najee Harris,RB,LAC,253.23,3,,,,270.0,,239.7,250.0
280,Elijah Sarratt,WR,BAL,254.0,5,276.0,,257.3,231.0,,230.7,275.0
281,Mac Jones,QB,SF,254.0,5,262.0,,252.1,335.0,,222.9,198.0
282,Green Bay Packers,DST,GB,254.33,3,237.0,,265.0,,,,261.0
283,Christian Kirk,WR,SF,255.78,4,,,295.8,229.0,,235.3,263.0
284,Caleb Douglas,WR,MIA,257.88,4,244.0,,269.4,282.0,,236.1,
285,Isaiah Davis,RB,NYJ,258.98,4,254.0,,322.1,225.0,,234.8,
286,Xavier Legette,WR,CAR,258.98,4,232.0,,324.4,242.0,,237.5,
287,Adam Randall,RB,BAL,259.52,4,221.0,,310.1,267.0,,240.0,
288,Tyquan Thornton,WR,KC,260.05,4,282.0,,289.5,240.0,,228.7,
289,Darnell Washington,TE,PIT,260.37,3,,,274.0,280.0,,227.1,
290,Ty Johnson,RB,BUF,261.25,4,252.0,,329.0,230.0,,234.0,
291,Buffalo Bills,DST,BUF,261.4,3,,194.0,302.2,,,,288.0
292,Justin Fields,QB,KC,262.2,5,230.0,,275.1,360.0,,234.9,211.0
293,Kaleb Johnson,RB,PIT,264.33,3,,,299.0,251.0,,,243.0
294,Skyler Bell,WR,BUF,264.5,3,,,286.3,268.0,,239.2,
