Rank,Player,Pos,Team,Avg ADP,# Sites,ESPN,Yahoo,Sleeper,FantasyPros,PFF,Underdog,RTSports,DraftSharks
107,Josh Downs,WR,IND,105.91,8,91.0,119.6,124.0,118.0,83.0,84.7,107.0,120.0
108,Dalton Kincaid,TE,BUF,106.12,8,118.0,100.1,96.0,100.0,94.0,125.9,119.0,96.0
109,Jordan Addison,WR,MIN,107.33,8,92.0,119.0,99.0,107.0,140.0,89.6,112.0,100.0
110,Isaiah Likely,TE,NYG,110.34,8,117.0,108.5,121.0,101.0,103.0,128.2,88.0,116.0
111,Jayden Reed,WR,GB,110.59,8,113.0,121.2,110.0,117.0,118.0,80.5,114.0,111.0
112,Rachaad White,RB,WAS,111.19,8,105.0,119.4,118.0,110.0,116.0,110.1,96.0,115.0
113,Aaron Jones Sr.,RB,MIN,111.94,8,100.0,120.0,107.0,113.0,106.0,124.5,117.0,108.0
114,Jacory Croskey-Merritt,RB,WAS,112.39,8,120.0,118.1,108.0,108.0,123.0,113.0,104.0,105.0
115,Mark Andrews,TE,BAL,114.06,8,110.0,114.3,114.0,114.0,101.0,127.2,118.0,114.0
116,Jake Ferguson,TE,DAL,114.08,8,109.0,113.3,105.0,109.0,122.0,132.3,115.0,107.0
117,Jordan Mason,RB,MIN,114.47,8,137.0,120.6,127.0,112.0,97.0,110.2,93.0,119.0
118,Xavier Worthy,WR,KC,114.76,8,114.0,127.8,120.0,123.0,88.0,102.3,121.0,122.0
119,Jared Goff,QB,DET,118.95,8,135.0,115.5,129.0,115.0,120.0,110.1,103.0,124.0
120,Dallas Goedert,TE,PHI,120.21,8,103.0,105.9,117.0,119.0,129.0,134.8,136.0,117.0
121,Matthew Golden,WR,GB,124.94,8,79.0,130.8,137.0,141.0,141.0,106.7,133.0,131.0
122,KC Concepcion,WR,CLE,125.6,8,125.0,132.0,115.0,137.0,124.0,118.8,132.0,121.0
123,Romeo Doubs,WR,NE,126.88,8,128.0,132.1,112.0,132.0,149.0,117.9,126.0,118.0
124,Zach Charbonnet,RB,SEA,128.9,8,123.0,128.0,125.0,124.0,121.0,161.2,124.0,125.0
125,Kyler Murray,QB,MIN,129.57,8,133.0,110.0,168.0,126.0,110.0,113.6,129.0,147.0
126,Hunter Henry,TE,NE,132.78,8,119.0,128.6,119.0,134.0,131.0,152.6,152.0,126.0
127,Jayden Higgins,WR,HOU,133.53,8,129.0,133.5,131.0,154.0,119.0,121.7,147.0,133.0
128,Baker Mayfield,QB,TB,133.7,8,149.0,127.6,149.0,130.0,133.0,120.0,120.0,141.0
129,Woody Marks,RB,HOU,133.97,8,122.0,132.2,144.0,142.0,134.0,141.6,116.0,140.0
130,Tyrone Tracy Jr.,RB,NYG,134.18,8,155.0,130.5,135.0,136.0,130.0,135.9,122.0,129.0
131,Khalil Shakir,WR,BUF,135.09,8,112.0,132.9,133.0,152.0,144.0,127.8,144.0,135.0
132,Tyler Allgeier,RB,ARI,135.89,8,157.0,129.8,123.0,135.0,127.0,154.3,134.0,127.0
133,Tyler Shough,QB,NO,136.51,8,134.0,129.6,146.0,139.0,145.0,124.5,130.0,144.0
134,Chris Rodriguez Jr.,RB,JAX,137.16,8,140.0,132.8,148.0,156.0,107.0,129.5,138.0,146.0
135,Rashid Shaheed,WR,SEA,137.31,8,132.0,129.4,163.0,143.0,128.0,131.1,123.0,149.0
136,Stefon Diggs,WR,WAS,137.56,8,202.0,117.0,118.0,115.0,187.0,109.5,114.0,138.0
137,Jordan Love,QB,GB,138.44,8,198.0,124.9,139.0,127.0,135.0,114.6,137.0,132.0
138,Malik Willis,QB,MIA,139.38,8,150.0,124.1,147.0,131.0,139.0,135.9,145.0,143.0
139,Jalen Coker,WR,CAR,142.56,8,130.0,133.6,143.0,161.0,160.0,127.9,143.0,142.0
140,Kenyon Sadiq,TE,NYJ,143.7,8,116.0,129.5,136.0,151.0,148.0,167.1,165.0,137.0
141,Brian Robinson Jr.,RB,ATL,143.87,7,141.0,124.7,142.0,133.0,,177.4,150.0,139.0
142,Brenton Strange,TE,JAX,143.93,8,194.0,128.1,130.0,138.0,126.0,149.3,156.0,130.0
143,Juwan Johnson,TE,NO,146.66,8,160.0,131.4,150.0,148.0,150.0,155.9,127.0,151.0
144,Deebo Samuel Sr.,WR,SF,146.82,8,126.0,128.0,181.0,159.0,136.0,131.6,148.0,165.0
145,Tyjae Spears,RB,TEN,147.59,8,166.0,133.1,154.0,155.0,142.0,154.6,128.0,148.0
146,Alvin Kamara,RB,NO,149.12,8,138.0,127.2,176.0,144.0,159.0,163.8,125.0,160.0
147,Chigoziem Okonkwo,TE,WAS,151.4,8,216.0,126.9,166.0,145.0,117.0,141.3,141.0,158.0
148,Oronde Gadsden II,TE,LAC,152.21,8,258.0,125.7,103.0,129.0,158.0,156.0,175.0,113.0
149,Isiah Pacheco,RB,DET,154.18,8,139.0,126.8,204.0,157.0,138.0,152.6,135.0,181.0
150,Denzel Boston,WR,CLE,154.3,8,145.0,130.8,151.0,171.0,153.0,148.6,182.0,153.0
151,Keaton Mitchell,RB,LAC,154.62,8,168.0,132.7,188.0,176.0,125.0,133.3,139.0,175.0
152,Jonah Coleman,RB,DEN,155.88,8,212.0,131.3,132.0,149.0,181.0,159.7,146.0,136.0
153,Jauan Jennings,WR,MIN,156.46,8,164.0,128.8,157.0,162.0,151.0,156.9,173.0,159.0
154,De'Zhaun Stribling,WR,SF,157.07,7,148.0,132.0,162.0,193.0,,139.5,158.0,167.0
155,TJ. Hockenson,TE,MIN,157.18,8,111.0,130.2,182.0,174.0,152.0,170.2,160.0,178.0
156,Dylan Sampson,RB,CLE,157.2,8,158.0,131.6,164.0,172.0,132.0,172.0,162.0,166.0
157,Omar Cooper Jr.,WR,NYJ,159.53,8,162.0,131.2,155.0,173.0,177.0,146.0,176.0,156.0
158,Sam Darnold,QB,SEA,159.71,8,218.0,123.7,178.0,147.0,155.0,143.0,149.0,164.0
159,Travis Hunter,WR,JAX,160.06,8,146.0,127.4,152.0,168.0,182.0,142.1,209.0,154.0
160,Tank Bigsby,RB,PHI,161.7,8,142.0,132.1,197.0,181.0,143.0,157.5,157.0,184.0
161,Jalen McMillan,WR,TB,162.3,8,143.0,130.8,184.0,180.0,161.0,149.6,174.0,176.0
162,Brandon Aubrey,K,DAL,163.0,7,181.0,84.8,156.0,122.0,193.0,,140.0,145.0
163,CJ. Stroud,QB,HOU,163.96,8,200.0,126.5,189.0,158.0,162.0,145.2,154.0,177.0
164,Daniel Jones,QB,IND,164.64,8,136.0,129.2,193.0,178.0,180.0,146.9,169.0,185.0
165,Dalton Schultz,TE,HOU,167.69,8,207.0,129.6,160.0,170.0,154.0,167.9,190.0,163.0
166,Cameron Dicker,K,LAC,169.0,7,182.0,124.0,158.0,150.0,200.0,,172.0,152.0
167,Denver Broncos,DST,DEN,169.25,6,169.0,100.9,141.0,128.0,197.0,,170.0,
168,Houston Texans,DST,HOU,172.33,6,170.0,91.8,126.0,120.0,196.0,,151.0,
169,Mike Washington Jr.,RB,LV,172.72,8,156.0,130.4,185.0,182.0,168.0,196.4,184.0,180.0
170,Cameron Ward,QB,TEN,172.8,8,199.0,127.3,190.0,166.0,219.0,143.1,159.0,179.0
171,AJ Barner,TE,SEA,173.11,8,217.0,126.7,138.0,175.0,169.0,174.2,235.0,150.0
172,Philadelphia Eagles,DST,PHI,173.5,7,175.0,123.5,134.0,140.0,198.0,,181.0,134.0
173,Jason Myers,K,SEA,174.67,7,183.0,126.2,159.0,160.0,202.0,,187.0,157.0
174,Jalen Nailor,WR,LV,175.49,8,161.0,129.4,250.0,185.0,163.0,148.5,153.0,214.0
175,Los Angeles Rams,DST,LAR,176.0,7,173.0,91.8,122.0,121.0,194.0,,161.0,123.0
176,New England Patriots,DST,NE,176.5,7,177.0,126.9,153.0,163.0,213.0,,198.0,155.0
